ts_sec,rel_ms,current_mA
1757011766.566094,16417.497,0.060
1757011766.568162,16419.566,0.060
1757011766.570230,16421.634,0.060
1757011766.572297,16423.700,0.060
1757011766.574366,16425.770,0.060
1757011766.576434,16427.837,0.060
1757011766.578502,16429.906,0.060
1757011766.580570,16431.974,0.060
1757011766.582639,16434.043,0.060
1757011766.584707,16436.110,0.060
1757011766.586776,16438.179,0.060
1757011766.588845,16440.249,0.060
1757011766.590914,16442.318,0.060
1757011766.592983,16444.386,0.060
1757011766.595051,16446.455,0.060
1757011766.597120,16448.523,0.060
1757011766.599189,16450.593,0.060
1757011766.601258,16452.661,0.060
1757011766.603327,16454.730,0.060
1757011766.605399,16456.803,0.060
1757011766.607468,16458.872,0.060
1757011766.609537,16460.941,0.060
1757011766.611606,16463.010,0.060
1757011766.613675,16465.078,0.060
1757011766.615743,16467.147,0.060
1757011766.617812,16469.215,0.060
1757011766.619880,16471.284,0.060
1757011766.621948,16473.352,0.060
1757011766.624025,16475.428,0.060
1757011766.626093,16477.497,0.060
1757011766.628162,16479.565,0.060
1757011766.630230,16481.634,0.060
1757011766.632298,16483.701,0.060
1757011766.634367,16485.770,0.060
1757011766.636435,16487.839,0.060
1757011766.638503,16489.907,0.060
1757011766.640570,16491.974,0.060
1757011766.642639,16494.043,0.060
1757011766.644708,16496.111,0.060
1757011766.646777,16498.180,0.060
1757011766.648846,16500.250,0.060
1757011766.650916,16502.319,0.060
1757011766.652983,16504.387,0.060
1757011766.655052,16506.456,0.060
1757011766.657120,16508.523,0.060
1757011766.659189,16510.592,0.060
1757011766.661259,16512.663,0.060
1757011766.663328,16514.731,0.060
1757011766.665396,16516.799,0.060
1757011766.667464,16518.868,0.060
1757011766.669534,16520.937,0.060
1757011766.671604,16523.007,0.060
1757011766.673673,16525.076,0.060
1757011766.675742,16527.146,0.060
1757011766.677810,16529.213,0.060
1757011766.679879,16531.282,0.060
1757011766.681948,16533.352,0.060
1757011766.684027,16535.430,0.060
1757011766.686094,16537.498,0.060
1757011766.688163,16539.567,0.060
1757011766.690232,16541.635,0.060
1757011766.692299,16543.702,0.060
1757011766.694367,16545.771,0.060
1757011766.696436,16547.840,0.060
1757011766.698505,16549.908,0.060
1757011766.700572,16551.975,0.060
1757011766.702640,16554.043,0.060
1757011766.704708,16556.112,0.060
1757011766.706777,16558.181,0.060
1757011766.708846,16560.249,0.060
1757011766.710915,16562.319,0.060
1757011766.712983,16564.387,0.060
1757011766.715053,16566.456,0.060
1757011766.717122,16568.525,0.060
1757011766.719191,16570.594,0.060
1757011766.721260,16572.663,0.060
1757011766.723328,16574.732,0.060
1757011766.725401,16576.804,0.060
