ts_sec,rel_ms,current_mA
1757368286.060024,25628.115,0.060
1757368286.062097,25630.188,0.060
1757368286.064165,25632.257,0.060
1757368286.066237,25634.328,0.060
1757368286.068306,25636.397,0.060
1757368286.070379,25638.470,0.060
1757368286.072449,25640.541,0.060
1757368286.074518,25642.610,0.060
1757368286.076585,25644.676,0.060
1757368286.078655,25646.746,0.060
1757368286.080723,25648.814,0.060
1757368286.082791,25650.882,0.060
1757368286.084859,25652.950,0.060
1757368286.086928,25655.019,0.060
1757368286.088997,25657.088,0.060
1757368286.091066,25659.157,0.060
1757368286.093135,25661.226,0.060
1757368286.095204,25663.295,0.060
1757368286.097277,25665.369,0.060
1757368286.099346,25667.437,0.060
1757368286.101418,25669.509,0.060
1757368286.103487,25671.578,0.060
1757368286.105556,25673.647,0.060
1757368286.107626,25675.717,0.060
1757368286.109695,25677.786,0.060
1757368286.111764,25679.855,0.060
1757368286.113833,25681.924,0.060
1757368286.115902,25683.994,0.060
1757368286.117972,25686.063,0.060
1757368286.120028,25688.119,0.060
1757368286.122097,25690.188,0.060
1757368286.124168,25692.259,0.060
1757368286.126239,25694.330,0.060
1757368286.128307,25696.398,0.060
1757368286.130376,25698.467,0.060
1757368286.132444,25700.535,0.060
1757368286.134512,25702.604,0.060
1757368286.136579,25704.670,0.060
1757368286.138648,25706.739,0.060
1757368286.140716,25708.807,0.060
1757368286.142785,25710.876,0.060
1757368286.144853,25712.944,0.060
1757368286.146922,25715.013,0.060
1757368286.148991,25717.082,0.060
1757368286.151060,25719.151,0.060
1757368286.153129,25721.220,0.060
1757368286.155198,25723.289,0.060
1757368286.157267,25725.358,0.060
1757368286.159335,25727.426,0.060
1757368286.161406,25729.497,0.060
1757368286.163476,25731.567,0.060
1757368286.165545,25733.636,0.060
1757368286.167614,25735.705,0.060
1757368286.169683,25737.774,0.060
1757368286.171752,25739.843,0.060
1757368286.173820,25741.912,0.060
1757368286.175889,25743.980,0.060
1757368286.177958,25746.050,0.060
